source_id,producer,dataset_name,url,licence,licence_notes,geography_vintage,update_cadence,retrieved_at,staleness_thresholds,authority_rank,access_notes
minurbanisme-rca-regions,Ministère de l'Urbanisme (RCA),"7 pages régionales (minurbanisme-rca.org/1-plateaux/ … /7-bas-oubangui/)",https://www.minurbanisme-rca.org/,"unknown — government site, no licence stated","Government site with no stated content licence found. Ministry administrative-directorate pages, not a law/decree. Used to map the 7 RGPH-4 régions onto the 20 préfectures — recoupé only by the fact that the 7 lists sum to exactly 20 préfectures with no gaps or overlap, not by a second independent source yet. See docs/verification-debt.md.","current site content as of 2026-09-05 fetch",unknown,2026-09-05,,n/a (used for régions-to-préfectures mapping only),Fetched 7 individual région pages via WebFetch and quoted their préfecture lists directly.
unesco-uis-completion-survey,UNESCO Institut de statistique (UIS),"Taux d'achèvement (primaire, 1er cycle secondaire, 2nd cycle secondaire), les deux sexes (CR.1, CR.2, CR.3)",https://api.uis.unesco.org/api/public/data/indicators?geoUnit=CAF&indicator=CR.1,CC BY-SA 4.0 (UIS Data Browser / API),Déclarée sur la page Terms and Conditions du UIS Data Browser (databrowser.uis.unesco.org/terms-and-conditions) ; le site institutionnel UIS lui-même cite CC BY-SA 3.0 IGO pour ses publications -- les deux licences n'ont pas été comparées clause par clause cette session. Voir docs/verification-debt.md.,"données ponctuelles agrégées par l'UIS à partir d'enquêtes/recensements nationaux (MICS, EHCVM, RGPH selon l'année) ; 4 points seulement pour la RCA par niveau (2000, 2006, 2010, 2019), pas une série annuelle. Renommée depuis unesco-uis-cr1-survey le 2026-09-12 pour refléter sa portée réelle (3 niveaux, pas seulement le primaire) -- même source, même identifiant conservé pour ne pas casser les observations déjà enregistrées sous ce nom.",irrégulière (dépend de la publication de la prochaine enquête nationale),2026-09-12,,"enquête nationale (le point 2019 provient très probablement du MICS7 ou d'une enquête EHCVM -- l'UIS ne cite pas l'enquête source exacte par point dans cette réponse d'API, seule l'année ; voir docs/verification-debt.md)","Récupéré directement via l'API REST publique de l'UIS Data API (api.uis.unesco.org/api/public/data/indicators), sans authentification. Endpoint découvert par tâtonnement (l'ancien point de téléchargement en masse bdds/ renvoie 404) puis confirmé par le message d'erreur 400 de l'API elle-même, qui documente ses propres paramètres requis. CR.2 et CR.3 récupérés via le même endpoint, seul le paramètre indicator change."
unesco-uis-completion-modelled,UNESCO Institut de statistique (UIS),"Taux d'achèvement (primaire, 1er cycle secondaire, 2nd cycle secondaire), les deux sexes, données modélisées (CR.MOD.1, CR.MOD.2, CR.MOD.3)",https://api.uis.unesco.org/api/public/data/indicators?geoUnit=CAF&indicator=CR.MOD.1,CC BY-SA 4.0 (UIS Data Browser / API),Même licence déclarée que la source enquête -- voir la note sur cette source.,"séries annuelles modélisées/interpolées par l'UIS, 1981-2025, pour combler les années sans enquête, un jeu par niveau",annuelle,2026-09-12,,"estimation modélisée internationale -- rang le plus bas de l'échelle publiée dans CLAUDE.md, hors chiffre de portail sans source citée","Même endpoint que la source enquête (api.uis.unesco.org/api/public/data/indicators), indicateurs CR.MOD.1/2/3. Utilisée ici spécifiquement pour exercer le mécanisme de divulgation multi-source (docs/plan.md §2.5) avec un vrai désaccord enquête vs modèle, pas fabriqué : les deux séries divergent nettement en 2019 pour le primaire (27,0% enquête contre 29,2% modèle). Renommée depuis unesco-uis-cr1-modelled le 2026-09-12, même raison que la source enquête."
unesco-uis-education-administrative,UNESCO Institut de statistique (UIS),"Indicateurs de scolarisation et de rétention scolaire (taux brut/net de scolarisation, redoublement, survie, non-scolarisation), les deux sexes",https://api.uis.unesco.org/api/public/data/indicators?geoUnit=CAF&indicator=GER.1,CC BY-SA 4.0 (UIS Data Browser / API),Même licence déclarée que les sources achèvement -- voir cette note. Méthodologie précise par indicateur (données administratives issues des annuaires scolaires nationaux vs estimation UIS) non confirmée point par point via cette réponse d'API -- voir docs/verification-debt.md.,"couverture et fraîcheur très inégales selon l'indicateur : de 1971 à une dernière année qui va de 2011 (redoublement, survie) à 2017 (scolarisation brute secondaire) -- aucune série ne descend jusqu'à aujourd'hui",irrégulière,2026-09-12,,"donnée administrative nationale compilée par l'UIS (rang intermédiaire de l'échelle publiée dans CLAUDE.md/methode.astro, entre enquête nationale et estimation modélisée internationale) -- classement provisoire, méthodologie exacte non confirmée par point","Récupéré via le même endpoint UIS que les indicateurs d'achèvement, indicateurs GER.1, GER.2, GER.3, GER.5T8, NERT.1.CP, REPR.1.CP, SR.1.GLAST.CP, ROFST.1.CP, ROFST.2.CP -- neuf codes, un seul appel d'API groupé (paramètre indicator accepte une liste séparée par des virgules)."
unesco-uis-literacy,UNESCO Institut de statistique (UIS),"Taux d'alphabétisation, jeunes (15-24 ans) et adultes (15 ans et plus), les deux sexes (LR.AG15T24, LR.AG15T99)",https://api.uis.unesco.org/api/public/data/indicators?geoUnit=CAF&indicator=LR.AG15T24,CC BY-SA 4.0 (UIS Data Browser / API),Même licence déclarée que les autres sources UIS de cette page -- voir la note sur la source achèvement/enquête.,"4 points seulement pour la RCA (1975, 2000ish, ~2010, 2019 -- mêmes années que les indicateurs d'achèvement enquête, probablement issus des mêmes recensements/enquêtes)",irrégulière (dépend de la publication du prochain recensement ou de la prochaine enquête),2026-09-12,,"probablement recensement ou enquête nationale (alphabétisation se mesure généralement par recensement/enquête, pas par annuaire scolaire) -- non confirmé explicitement par l'API, voir docs/verification-debt.md","Récupéré via le même endpoint UIS, indicateurs LR.AG15T24 et LR.AG15T99."
unesco-uis-outofschool-modelled,UNESCO Institut de statistique (UIS),"Taux de non-scolarisation (primaire, 1er cycle secondaire, 2nd cycle secondaire), les deux sexes, données modélisées (ROFST.MOD.1, ROFST.MOD.2, ROFST.MOD.3)",https://api.uis.unesco.org/api/public/data/indicators?geoUnit=CAF&indicator=ROFST.MOD.1,CC BY-SA 4.0 (UIS Data Browser / API),"Même licence déclarée que les autres sources UIS de cette page. Découverte après coup (2026-09-12) : la recherche initiale des indicateurs de scolarisation/rétention n'avait vérifié que la variante 'officielle' (ROFST.1.CP/2.CP), pas systématiquement l'existence d'une variante modélisée -- corrigé en recherchant explicitement '*.MOD.*' pour chaque famille d'indicateur avant de conclure qu'aucune n'existait. Aucune variante modélisée trouvée pour la scolarisation nette/brute, le redoublement ou la survie -- ces séries restent réellement limitées à leur dernière année administrative (2011-2017).","série annuelle modélisée/interpolée par l'UIS, 2000-2025",annuelle,2026-09-12,,estimation modélisée internationale -- rang le plus bas de l'échelle publiée dans CLAUDE.md/methode.astro,"Même endpoint que les autres indicateurs UIS de cette page, indicateurs ROFST.MOD.1/2/3. Utilisée pour exercer le mécanisme de divulgation multi-source (docs/plan.md §2.5) entre la donnée administrative officielle (ROFST.1.CP/2.CP/3.CP, unesco-uis-education-administrative) et cette estimation modélisée, comme pour l'achèvement."
world-bank-internet-users,World Bank (World Development Indicators),"Individuals using the Internet, % of population (IT.NET.USER.ZS)",https://api.worldbank.org/v2/country/CAF/indicator/IT.NET.USER.ZS?format=json,CC BY 4.0 (licence standard des données Banque mondiale),,annuel ; source primaire = Union internationale des télécommunications (ITU),annuelle,2026-09-12,,"estimation modélisée internationale (rang le plus bas de l'échelle publiée dans CLAUDE.md, hors chiffre de portail sans source citée)","Récupéré directement via l'API REST publique de la Banque mondiale, sans authentification. 15 années (2008-2024)."
world-bank-mobile-subscriptions,World Bank (World Development Indicators),"Mobile cellular subscriptions, per 100 people (IT.CEL.SETS.P2)",https://api.worldbank.org/v2/country/CAF/indicator/IT.CEL.SETS.P2?format=json,CC BY 4.0 (licence standard des données Banque mondiale),,annuel ; source primaire = ITU,annuelle,2026-09-12,,estimation modélisée internationale,"Récupéré directement via l'API REST publique de la Banque mondiale, sans authentification. 15 années (2008-2022, la plus récente disponible malgré mrnev=15)."
world-bank-water-access,World Bank (World Development Indicators),"People using at least basic drinking water services, % of population (SH.H2O.BASW.ZS)",https://api.worldbank.org/v2/country/CAF/indicator/SH.H2O.BASW.ZS?format=json,CC BY 4.0 (licence standard des données Banque mondiale),,annuel ; source primaire = WHO/UNICEF Joint Monitoring Programme (JMP),annuelle,2026-09-12,,"estimation modélisée internationale, compilée en partie depuis des enquêtes nationales","Récupéré directement via l'API REST publique de la Banque mondiale, sans authentification. 15 années (2010-2024)."
world-bank-sanitation-access,World Bank (World Development Indicators),"People using at least basic sanitation services, % of population (SH.STA.BASS.ZS)",https://api.worldbank.org/v2/country/CAF/indicator/SH.STA.BASS.ZS?format=json,CC BY 4.0 (licence standard des données Banque mondiale),,annuel ; source primaire = WHO/UNICEF Joint Monitoring Programme (JMP),annuelle,2026-09-12,,"estimation modélisée internationale, compilée en partie depuis des enquêtes nationales","Récupéré directement via l'API REST publique de la Banque mondiale, sans authentification. 15 années (2010-2024). Même méthodologie JMP que l'accès à l'eau potable -- deux indicateurs, deux facettes du même programme de suivi."
